"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 24 10:25:06 GMT 2021","Fri Dec 24 10:25:06 GMT 2021","0","Surefire suite","Surefire test","BaseTest","BaseTest","test3","test3",""
"passed","Fri Dec 24 10:25:06 GMT 2021","Fri Dec 24 10:25:06 GMT 2021","0","Surefire suite","Surefire test","BaseTest","BaseTest","test2","test2",""
"passed","Fri Dec 24 10:25:06 GMT 2021","Fri Dec 24 10:25:06 GMT 2021","8","Surefire suite","Surefire test","BaseTest","BaseTest","test1","test1",""
