"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 24 10:22:08 GMT 2021","Fri Dec 24 10:22:08 GMT 2021","7","Surefire suite","Surefire test","BaseTest","BaseTest","test1","test1",""
"passed","Fri Dec 24 10:22:08 GMT 2021","Fri Dec 24 10:22:08 GMT 2021","0","Surefire suite","Surefire test","BaseTest","BaseTest","test2","test2",""
